Station,Reading,Time,Date,Elevation,Height,Water,Ice,Terrain,Slope,X,Y,Longitude,Latitude,Gravity,TideCorr,Bouguer,FreeAir,Source
119,2088.45,13:33:00,2019/12/10,599.36,0,0,0,0,0,247848.780089509,7715275.43273904,-41.4199683333333,-20.6448798611111,978492.930920938,0.0729797556996346,-63.1739758669659,3.89230797559412,10122019_965
120,2083.38,14:02:00,2019/12/10,623.43,0,0,0,0,0,248019.706889689,7715078.01911665,-41.4183571944444,-20.6466850833333,978487.77900199,0.0435202531516552,-63.6988000115772,6.06083248970282,10122019_965
121,2084.075,14:41:00,2019/12/10,626.55,0,0,0,0,0,247851.935915907,7714918.0823478,-41.4199891388889,-20.6481064166667,978488.443791263,0.00421771500259638,-62.5049236333677,7.6038259354323,10122019_965
122,2089.925,15:09:00,2019/12/10,581.03,0,0,0,0,0,247625.701480115,7716598.49942983,-41.4219186666667,-20.6329053055556,978494.330917294,-0.0219045802950859,-64.6668492458555,0.348371825024458,10122019_965
123,2088.35,15:31:00,2019/12/10,592.28,0,0,0,0,0,248206.922569372,7716651.30814282,-41.4163371666667,-20.6325066666667,978492.721840887,-0.0402589589357376,-64.0393382059627,2.23471844491726,10122019_965
124,2085.81,15:54:00,2019/12/10,602.34,0,0,0,0,0,248702.634356559,7716536.24402702,-41.4115996111111,-20.6336119444444,978490.13944732,-0.0567457228899002,-64.7086969799571,2.69103842068287,10122019_965
125,2086.29,16:14:00,2019/12/10,595.51,0,0,0,0,0,249173.770714969,7716557.01699551,-41.4070783611111,-20.6334874722222,978490.613711455,-0.0684541091322899,-65.5704844190429,1.06499791391715,10122019_965
126,2069.37,16:36:00,2019/12/10,684.17,0,0,0,0,0,249686.974364817,7716899.95495804,-41.402108,-20.6304599722222,978473.505597446,-0.0781890898942947,-65.0590969124475,11.4971287558725,10122019_965
127,2054.03,16:59:00,2019/12/10,762.98,0,0,0,0,0,249950.233998313,7717299.31405962,-41.3995267777778,-20.6268896388889,978457.997594233,-0.0846055001020432,-64.8528203801294,20.5219681379506,10122019_965
128,2044.73,17:30:00,2019/12/10,815.66,0,0,0,0,0,250447.086163216,7717080.09274227,-41.394793,-20.6289349444444,978448.597981844,-0.0870088934898376,-64.0119702455986,27.2575256817614,10122019_965
