Station,Reading,Time,Date,height_sea_level_m,X,Y,longitude,latitude,gravity_mgal,TideCorr,Source
79,2070.2,12:45:00,2019/12/08,680.4,250252.270299599,7718106.59057424,-41.3965161666667,-20.6196416944444,978474.4371954,0.04764574021101,08122019_965
80,2053095,13:13:00,2019/12/08,772.35,250944.945603512,7718295.67660366,-41.3898471388889,-20.6180266388889,978457.124704928,0.0251365303993225,08122019_965
81,2040.19,13:39:00,2019/12/08,846.62,251422.314905793,7718012.60306026,-41.3853092777778,-20.6206455555556,978444.059227922,0.00485877227038145,08122019_965
82,2050.12,14:13:00,2019/12/08,800.02,251629.488496014,7718011.7212804,-41.3833226944444,-20.6206809444444,978454.065962515,-0.0192103125154972,08122019_965
83,2042735,14:46:00,2019/12/08,847.89,251731.340334331,7717005.95557495,-41.3824873333333,-20.6297746666667,978446.57921808,-0.0383504331111908,08122019_965
84,2045965,15:02:00,2019/12/08,835.41,251794.387874286,7716690.96485984,-41.3819269722222,-20.6326268055556,978449.833989727,-0.0457206293940544,08122019_965
85,2048.71,15:33:00,2019/12/08,835.62,251658.316426775,7715971.41682593,-41.3833331666667,-20.639105,978452.593846913,-0.0558991506695747,08122019_965
86,2048.62,16:00:00,2019/12/08,830.45,251967.602545265,7715723.69527939,-41.3804016944444,-20.6413824166667,978452.495217118,-0.0600376911461353,08122019_965
87,2047.77,16:30:00,2019/12/08,833.11,252198.823297683,7716410.61879366,-41.3780876388889,-20.6352113055556,978451.632974737,-0.0593397878110409,08122019_965
88,2176015,17:31:00,2019/12/08,202.75,254500.154795545,7708491.90856233,-41.35712,-20.7070065833333,978581.261803888,-0.0421190597116947,08122019_965
89,2215185,09:04:00,2019/12/09,228.62,255687.568786622,7712750.1947691,-41.3451353333333,-20.6687168611111,978567.34661171,0.139770522713661,09122019_996
90,2207.54,09:27:00,2019/12/09,269.02,255623.018655921,7713296.19373369,-41.3456788333333,-20.6637789444444,978559.667171406,0.149178966879845,09122019_996
91,2206.84,09:47:00,2019/12/09,273.03,255721.405323273,7713804.48526341,-41.3446646111111,-20.6592027222222,978558.966997224,0.154421091079712,09122019_996
92,2200255,10:09:00,2019/12/09,300.77,255529.284036995,7714296.61962882,-41.34643925,-20.6547344722222,978552.346483135,0.156847432255745,09122019_996
93,2195.6,10:35:00,2019/12/09,317.21,255331.855024793,7714825.29206068,-41.3482596388889,-20.6499356388889,978547.662102792,0.155105784535408,09122019_996
94,2188415,11:03:00,2019/12/09,350.31,255124.567920291,7715271.56463316,-41.3501859166667,-20.6458794444444,978540.428011219,0.147724539041519,09122019_996
95,2181095,11:24:00,2019/12/09,379.33,254845.861980273,7715796.4577322,-41.3527861666667,-20.6411040833333,978533.057028086,0.138646021485329,09122019_996
96,2176.66,11:45:00,2019/12/09,408.65,254504.438073946,7715868.20277379,-41.3560508055556,-20.6404116666667,978528.584146971,0.126802027225494,09122019_996
97,2169705,12:12:00,2019/12/09,432.71,254519.12223765,7716403.06782662,-41.3558355833333,-20.6355846388889,978521.570020272,0.10804233700037,09122019_996
98,2165265,12:38:00,2019/12/09,455.62,254291.631236173,7716617.1758622,-41.3579875833333,-20.6336218055556,978517.082525463,0.0870037227869034,09122019_996
99,2169805,13:07:00,2019/12/09,447.2,254250.921946541,7715732.36905698,-41.3585011944444,-20.6416048055556,978521.619443722,0.0612231232225895,09122019_996
100,2163255,13:27:00,2019/12/09,479.6,254029.002301199,7715961.3746103,-41.3605977222222,-20.6395081666667,978515.013361196,0.0427318997681141,09122019_996
101,2146.33,13:51:00,2019/12/09,579.12,253799.055451705,7716140.28872103,-41.3627781666667,-20.6378626944444,978497.971197073,0.0205348432064056,09122019_996
102,2132.56,14:13:00,2019/12/09,656.92,253356.119750959,7715987.9600897,-41.3670475555556,-20.63917975,978484.104058867,0.000854567857459188,09122019_996
103,2117.47,14:40:00,2019/12/09,738.03,252898.909201437,7716127.69064695,-41.3714130277778,-20.6378580277778,978468.90656991,-0.0215248763561249,09122019_996
